country,code, gni , skulspend , death , healthexp , unemp , water , skul ,maternal
Malaysia,MYS," 10,320 ", 3.92 , 5.31 , 418.66 , 4.54 , 97.10 , 82.46 ,21
Maldives,MDV," 6,780 ", 5.80 , 3.00 , 825.57 , 5.34 , 99.54 ,,57
Mali,MLI, 790 , 3.76 , 9.53 , 35.45 , 3.53 , 82.55 , 37.29 ,440
Malta,MLT," 26,350 ", 5.87 , 7.90 ," 3,135.41 ", 4.35 , 100.00 , 109.68 ,3
Marshall Islands,MHL," 6,690 ", 13.63 , 7.43 , 731.10 ,, 88.57 , 62.66 ,
Mauritania,MRT," 1,790 ", 1.88 , 7.47 , 59.05 , 11.14 , 71.68 , 38.19 ,464
Mauritius,MUS," 9,940 ", 4.61 , 8.70 , 560.41 , 8.63 , 99.87 ,,84
Mexico,MEX," 8,750 ",, 9.33 , 538.57 , 4.45 , 99.68 , 101.84 ,59
"Micronesia, Fed. Sts.",FSM," 4,070 ",, 6.07 , 424.84 ,,,,74
Moldova,MDA," 4,360 ", 6.39 , 14.45 , 306.65 , 3.82 , 90.57 , 108.46 ,12
Monaco,MCO,,,," 3,085.44 ",, 100.00 ,,
Mongolia,MNG," 3,720 ", 4.66 , 5.48 , 199.82 , 6.59 , 85.50 , 98.05 ,39
Montenegro,MNE," 7,900 ",, 11.70 , 866.17 , 17.88 , 98.86 , 90.40 ,6
Morocco,MAR," 3,250 ", 6.75 , 6.07 , 187.40 , 11.11 , 90.40 , 82.45 ,72
Mozambique,MOZ, 470 , 6.26 , 8.00 , 34.28 , 3.78 , 63.37 , 39.02 ,127
Myanmar,MMR," 1,370 ",, 8.82 , 72.11 , 1.48 , 83.72 ,,179
Namibia,NAM," 4,650 ", 9.45 , 8.48 , 379.54 , 21.24 , 84.27 ,,215
Nauru,NRU," 16,500 ", 5.17 , 6.60 ," 1,143.74 ",, 100.00 ,,
Nepal,NPL," 1,180 ", 4.18 , 7.21 , 58.31 , 13.08 , 90.07 , 85.52 ,174
Netherlands,NLD," 50,170 ", 5.30 , 9.70 ," 5,846.15 ", 3.82 , 100.00 , 115.17 ,4
New Caledonia,NCL,,, 5.70 ,, 13.56 , 99.31 ,,
New Zealand,NZL," 41,590 ", 5.98 , 6.41 ," 4,201.63 ", 4.60 , 100.00 , 120.38 ,7
Nicaragua,NIC," 1,760 ", 4.63 , 5.70 , 161.20 , 5.94 , 81.71 ,,78
Niger,NER, 550 , 3.84 , 8.28 , 35.01 , 0.68 , 46.91 ,,441
Nigeria,NGA," 2,060 ",, 13.00 , 69.76 , 6.00 , 77.61 ,,1047
North America,NAC," 62,515 ", 5.61 , 10.07 ," 11,076.74 ", 8.21 , 99.82 , 101.73 ,20
Northern Mariana Islands,MNP,,,,,, 100.00 ,,
Norway,NOR," 78,610 ", 5.90 , 7.50 ," 7,704.44 ", 4.42 , 100.00 , 118.97 ,2
Oman,OMN," 17,110 ",, 3.03 , 844.62 , 2.94 , 92.17 , 107.05 ,17
Pacific island small states,PSS," 3,888 ",, 6.49 , 202.23 , 3.29 , 85.43 , 73.17 ,83
Pakistan,PAK," 1,420 ", 2.37 , 7.06 , 38.18 , 6.55 , 90.15 ,,154
Palau,PLW," 14,640 ",, 8.40 ," 2,640.10 ",, 99.66 , 157.70 ,
Panama,PAN," 13,040 ", 3.91 , 5.75 ," 1,214.55 ", 14.11 , 94.37 ,,50
Papua New Guinea,PNG," 2,470 ", 1.35 , 6.40 , 63.93 , 2.69 , 45.34 ,,192
Paraguay,PRY," 5,540 ", 3.30 , 5.92 , 405.63 , 7.55 , 99.59 ,,71
Peru,PER," 6,000 ", 4.25 , 7.33 , 388.55 , 7.18 , 93.14 , 110.58 ,69
Philippines,PHL," 3,350 ", 3.73 , 5.57 , 164.74 , 2.52 , 94.11 , 91.99 ,78
Poland,POL," 15,300 ", 5.19 , 12.60 ," 1,025.98 ", 3.16 , 99.97 , 115.24 ,2
Portugal,PRT," 21,850 ", 5.01 , 12.00 ," 2,341.64 ", 6.80 , 99.91 , 119.74 ,12
Puerto Rico,PRI," 21,200 ", 3.39 , 9.60 ,, 8.89 , 100.00 ,,34
Qatar,QAT," 58,420 ", 3.23 , 1.22 ," 2,188.38 ", 0.14 , 99.57 ,,8
Romania,ROU," 12,710 ", 3.69 , 15.50 , 809.59 , 5.03 , 100.00 , 87.10 ,10
Russian Federation,RUS," 10,750 ", 3.73 , 14.60 , 773.88 , 5.59 , 96.99 ,,14
Rwanda,RWA, 760 , 3.33 , 6.00 , 57.50 , 13.01 , 60.41 ,,259
Samoa,WSM," 4,000 ", 4.81 , 5.31 , 202.43 , 9.79 , 91.84 ,,59
San Marino,SMR," 41,450 ", 3.42 , 9.90 ," 3,937.66 ",, 100.00 , 62.19 ,
Sao Tome and Principe,STP," 2,100 ", 5.01 , 6.29 , 106.92 , 15.44 , 78.23 ,,146
Saudi Arabia,SAU," 22,420 ", 7.81 , 2.91 ,, 7.45 , 100.00 , 112.59 ,16
Senegal,SEN," 1,460 ", 5.50 , 5.58 , 76.78 , 3.51 , 84.91 , 46.56 ,261
Serbia,SRB," 7,440 ",, 16.90 , 672.33 , 9.01 , 95.30 , 92.24 ,10
Seychelles,SYC," 13,450 ", 5.15 , 6.80 , 726.91 ,,, 78.33 ,3
Sierra Leone,SLE, 490 , 8.81 , 9.30 , 43.21 , 3.57 , 63.77 ,,443
Singapore,SGP," 55,260 ", 2.51 , 5.20 ," 3,537.00 ", 4.10 , 100.00 , 103.20 ,7
Sint Maarten (Dutch part),SXM," 27,420 ",, 5.50 ,,,,,
Slovak Republic,SVK," 19,180 ", 4.61 , 10.80 ," 1,393.62 ", 6.69 , 99.79 , 90.60 ,5
Slovenia,SVN," 25,400 ", 5.76 , 11.40 ," 2,417.21 ", 4.97 , 99.50 , 111.97 ,5
Small states,SST," 11,147 ", 4.61 , 7.43 , 655.76 , 9.48 , 88.39 , 76.43 ,245
Solomon Islands,SLB," 2,340 ", 12.75 , 5.08 , 99.13 , 0.89 , 67.30 ,,122
Somalia,SOM, 410 ,, 11.39 ,, 19.57 , 56.48 ,,621
South Africa,ZAF," 6,090 ", 6.19 , 9.43 , 489.64 , 24.34 , 93.89 , 102.10 ,127
South Sudan,SSD,,, 10.76 , 33.23 , 13.75 , 40.95 ,,1223
Spain,ESP," 27,130 ", 4.59 , 10.40 ," 2,900.65 ", 15.53 , 99.93 , 124.83 ,3
Sri Lanka,LKA," 3,880 ",, 7.06 , 151.06 , 5.20 , 92.23 ,,29
St. Kitts and Nevis,KNA," 19,420 ", 3.40 , 10.04 ," 1,104.94 ",,,,
St. Lucia,LCA," 8,590 ", 3.58 , 8.21 , 607.75 , 20.39 , 96.89 , 91.92 ,73
St. Martin (French part),MAF,,, 4.79 ,,, 100.00 ,,
St. Vincent and the Grenadines,VCT," 8,330 ",, 11.04 , 401.61 , 20.55 ,,,62
Sudan,SDN, 630 ,, 6.67 , 23.39 , 19.29 , 60.45 ,,270
Suriname,SUR," 4,500 ", 5.01 , 7.04 , 459.56 , 9.52 , 97.99 , 79.30 ,96
Eswatini,SWZ," 3,360 ", 5.34 , 9.60 , 219.10 , 25.08 , 70.75 ,,240
Sweden,SWE," 54,830 ", 7.17 , 9.50 ," 6,027.97 ", 8.29 , 99.83 , 145.62 ,5
Switzerland,CHE," 82,490 ", 5.22 , 8.80 ," 10,309.76 ", 4.82 , 100.00 , 102.56 ,7
Syrian Arab Republic,SYR, 760 ,, 4.99 ,, 10.01 , 93.93 ,,30
Tajikistan,TJK," 1,050 ", 5.92 , 6.12 , 69.69 , 7.49 , 81.85 ,,17
Tanzania,TZA," 1,050 ", 3.23 , 6.18 , 39.31 , 2.78 , 60.72 , 31.42 ,238
Thailand,THA," 6,920 ", 3.15 , 7.26 , 305.09 , 1.10 , 100.00 , 104.15 ,29
Timor-Leste,TLS," 2,100 ", 4.15 , 6.83 , 120.87 , 4.80 , 85.50 , 86.78 ,204
Togo,TGO, 880 , 3.99 , 8.42 , 53.50 , 4.03 , 68.58 ,,399
Tonga,TON," 5,200 ", 6.52 , 6.95 , 248.04 , 2.65 , 98.73 , 88.14 ,126
