District,County,Name,type,Students,p_minority, Diversity ,teachers,spendrat,avgsal,teachrat,p_5yearsexp,poorpct,Language limit,p_gifted,p_special,p_moved,p_passed,attendance
RICHARDSON ISD,DALLAS,MOHAWK EL,1,351,18.23,2.98,19,2771,37581,18.5,17,9.12,7.12,14.53,9.12,10.26,97.41,97.6
RICHARDSON ISD,DALLAS,NORTHRICH EL,1,412,25.73,3.82,27.4,3231,33564,15,17,18.93,6.8,4.85,17.72,15.78,85.77,96.8
RICHARDSON ISD,DALLAS,NORTHWOOD HILLS EL,1,501,46.71,4.98,29,2612,35838,17.3,22,39.52,24.95,9.78,6.99,22.75,79.95,96.4
RICHARDSON ISD,DALLAS,RICHARDSON HEIGHTS EL,1,513,35.48,4.58,32,2992,35809,16,27,34.5,11.5,5.07,14.23,24.37,70.15,96.1
RICHARDSON ISD,DALLAS,RICHARDSON TERRACE EL,1,598,48.66,5,40,2931,32974,15,31,32.44,15.38,4.68,11.04,21.4,75.28,96.3
RICHARDSON ISD,DALLAS,SPRING VALLEY EL,1,442,52.04,4.99,29,3179,30969,15.2,16,48.87,28.05,5.2,10.41,22.17,74.62,96.5
RICHARDSON ISD,DALLAS,STULTS ROAD EL,1,443,85.1,2.54,25.5,2692,32566,17.3,18,48.08,11.06,2.48,12.19,19.19,53.89,97.2
RICHARDSON ISD,DALLAS,MARK TWAIN EL,1,434,62.21,4.7,27,3017,31220,16.1,16,55.99,17.74,1.61,10.83,27.65,48.62,95.8
RICHARDSON ISD,DALLAS,WALLACE EL,1,653,45.79,4.96,38.5,2635,34999,17,26.5,35.07,1.38,5.36,10.57,26.8,74.58,96.3
RICHARDSON ISD,DALLAS,WHITE ROCK EL,1,648,39.51,4.78,35.5,2674,30253,18.3,18,33.8,4.48,10.65,8.8,21.91,83.95,96.2
RICHARDSON ISD,DALLAS,SPRING CREEK EL,1,293,25.94,3.84,19.6,3436,32521,14.9,12.5,15.7,9.56,8.53,16.38,13.31,92.88,97
RICHARDSON ISD,DALLAS,FORESTRIDGE EL,1,735,68.57,4.31,45,2759,34069,16.3,35,43.81,29.39,8.57,8.3,12.52,76.88,97
RICHARDSON ISD,DALLAS,NORTHLAKE EL,1,528,78.03,3.43,33.3,3014,32821,15.8,21.3,59.28,17.05,1.7,7.58,37.5,54.14,96.2
RICHARDSON ISD,DALLAS,BOWIE EL,1,403,12.9,2.25,24.5,2770,37243,16.5,22.5,5.71,6.7,12.16,14.14,14.14,93.78,97.2
RICHARDSON ISD,DALLAS,PRAIRIE CREEK EL,1,270,6.3,1.18,18.8,4244,35184,14.4,16.3,2.22,0.37,11.11,11.48,5.93,95.44,97.1
RICHARDSON ISD,DALLAS,SPRINGRIDGE EL,1,399,34.84,4.54,23,2928,38630,17.3,22,14.04,8.77,6.77,10.53,12.53,91.63,97.2
RICHARDSON ISD,DALLAS,PRESTONWOOD EL,1,401,23.94,3.64,22.9,2822,35111,17.5,19.5,8.48,6.48,10.97,8.23,17.96,93.31,97.3
RICHARDSON ISD,DALLAS,SKYVIEW EL,1,469,70.15,4.19,33.2,3517,29415,14.1,15.8,54.58,7.25,4.26,9.17,55.65,68.22,96.3
RICHARDSON ISD,DALLAS,DARTMOUTH EL,1,468,20.94,3.31,29.4,3165,34308,15.9,22.5,4.7,5.13,8.12,12.61,8.97,85.84,97.4
RICHARDSON ISD,DALLAS,BRENTFIELD EL,1,633,12.32,2.16,32.5,2460,36310,19.5,27,1.42,2.53,14.06,9,8.21,95.89,97.3
RICHARDSON ISD,DALLAS,JESS HARBEN EL,1,516,32.17,4.36,30,2598,35613,17.2,24.5,16.28,12.02,8.72,13.95,11.05,92.26,97.4
RICHARDSON ISD,DALLAS,RICHLAND EL,1,558,52.51,4.99,32.1,2721,33275,17.4,24.6,33.69,7.53,8.06,12.37,24.91,91.9,96.7
RICHARDSON ISD,DALLAS,YALE EL,1,722,23.41,3.59,39,2548,36915,18.5,32,2.77,3.46,6.65,10.39,8.73,88.14,97.5
RICHARDSON ISD,DALLAS,MOSS HAVEN EL,1,567,26.81,3.92,30.4,2463,30230,18.6,16,20.81,6.35,10.93,8.11,14.99,88.77,97.1
RICHARDSON ISD,DALLAS,BIG SPRINGS EL,1,555,24.68,3.72,34,2973,32987,16.3,24.5,9.55,2.16,8.11,14.05,14.23,89.85,97.2
RICHARDSON ISD,DALLAS,MERRIMAN PARK EL,1,513,25.54,3.8,26.9,2406,34129,19.1,23.9,16.76,4.48,15.2,8.19,18.52,84.04,97.2
RICHARDSON ISD,DALLAS,AIKIN EL,1,571,68.13,4.34,35,3119,30451,16.3,21.9,41.68,10.68,3.33,12.26,44.83,67.58,96.2
RICHARDSON ISD,DALLAS,RISD ACAD,3,873,89.12,1.94,51,2900,30880,17.1,27.1,94.39,67.7,1.03,7.9,26.92,56.08,96.2
RICHARDSON ISD,DALLAS,CLASSICAL MAGNET,3,463,53.56,4.97,33.5,576,30700,13.8,20,38.66,8.86,6.48,9.29,0,60.63,0
RICHARDSON ISD,DALLAS,MATH SCIENCE TECH MAGNET,3,559,45.08,4.95,34.8,199,31444,16.1,26.5,34.7,9.66,11.09,8.23,0,78.16,0
SUNNYVALE ISD,DALLAS,SUNNYVALE EL,1,367,4.9,0.93,29,4414,29826,12.7,17,6.54,0.54,14.44,10.35,10.08,80.84,97
WILMER-HUTCHINS ISD,DALLAS,ALTA MESA EL,1,300,98.67,0.26,21,3578,32873,14.3,12,85.33,0,10.33,9,31.33,81.43,95.6
WILMER-HUTCHINS ISD,DALLAS,HUTCHINS EL,1,450,89.11,1.94,30.7,3163,32673,14.6,22.7,68.67,24.67,7.78,6,22.67,74.78,95.1
WILMER-HUTCHINS ISD,DALLAS,C S WINN INT,2,475,93.68,1.18,31,3232,30520,15.3,13,78.32,5.89,16,8,31.37,64.2,93.9
WILMER-HUTCHINS ISD,DALLAS,WILMER EL,1,440,78.86,3.33,24,2650,34494,18.3,18,75,20.23,15.23,2.73,17.5,19.79,94.8
COPPELL ISD,DALLAS,PINKERTON EL,1,397,13.1,2.28,27.4,3399,30363,14.5,17,4.79,0.25,8.56,8.56,9.82,92.85,97.5
COPPELL ISD,DALLAS,LEE EL,1,510,24.12,3.66,31.6,2816,29940,16.2,19,5.1,7.65,7.45,5.49,6.86,86.06,97.1
COPPELL ISD,DALLAS,AUSTIN EL,1,480,21.46,3.37,35.5,3674,31941,13.5,24.6,3.54,9.17,8.96,10.63,7.92,91.62,97.3
COPPELL ISD,DALLAS,MOCKINGBIRD EL,1,556,11.69,2.06,37,3148,31115,15,26,2.34,0.36,9.17,7.55,3.24,91.35,97.8
COPPELL ISD,DALLAS,WILSON EL,1,590,16.1,2.7,39,3042,30285,15.1,18,7.63,0.17,7.12,9.83,6.44,85.53,97
COPPELL ISD,DALLAS,LAKESIDE EL,1,636,22.33,3.47,38,2636,29640,16.7,23,1.73,3.62,8.81,5.97,11.79,93.99,96.9
COPPELL ISD,DALLAS,TOWN CENTER EL,1,470,12.98,2.26,29.4,2863,28932,16,16.5,1.49,0.21,10.85,5.96,8.3,85.92,97.4
AVALON ISD,ELLIS,AVALON SCHOOL,3,201,47.76,4.99,21,5228,27733,9.6,10,60.2,8.46,9.95,21.89,21.39,63.51,96.9
ENNIS ISD,ELLIS,AUSTIN EL,1,500,34.8,4.54,32.5,3641,32604,15.4,28.5,33.8,0.4,16.8,13,16.4,74.72,96.9
ENNIS ISD,ELLIS,HOUSTON EL,1,643,71.23,4.1,38.9,2994,30980,16.5,30,70.14,25.51,4.67,8.55,9.8,73.43,96.8
ENNIS ISD,ELLIS,BOWIE EL,1,680,58.24,4.86,44.4,2953,30797,15.3,30.9,54.26,15.74,6.18,10.88,13.09,69.63,96.2
ENNIS ISD,ELLIS,TRAVIS EL,1,427,56.91,4.9,28.5,3436,30393,15,20,54.8,14.05,4.68,14.05,12.18,60.61,96.4
FERRIS ISD,ELLIS,FERRIS INT,2,531,42.18,4.88,30.4,2495,27372,17.5,15.1,52.17,6.4,6.21,18.64,21.28,75.8,96.9
ITALY ISD,ELLIS,STAFFORD EL,1,351,40.17,4.81,25,3739,29443,14,16.6,55.27,7.41,6.55,26.78,14.53,72.93,97.1
MIDLOTHIAN ISD,ELLIS,MILLS EL,1,394,15.48,2.62,29.9,3540,28567,13.2,19.2,24.37,3.3,9.64,14.47,16.5,66.48,97.1
MIDLOTHIAN ISD,ELLIS,IRVIN EL,1,523,13,2.26,29.7,2722,29046,17.6,18.1,22.56,1.53,10.52,16.06,12.62,69.9,96.8
MIDLOTHIAN ISD,ELLIS,T E BAXTER EL,1,685,16.35,2.74,41,2642,29308,16.7,28,35.91,5.4,15.77,12.85,9.93,44.87,96.4
MILFORD ISD,ELLIS,MILFORD SCHOOL,3,192,43.75,4.92,19.9,5036,27459,9.6,13.9,71.88,0,6.77,22.92,39.58,74.22,97.1
PALMER ISD,ELLIS,PALMER MIDDLE,2,206,30.1,4.21,13.5,4996,28044,15.3,8.3,39.32,8.74,6.8,16.5,21.36,72.1,95.3
PALMER ISD,ELLIS,PALMER EL,1,377,30.5,4.24,23.8,3422,27354,15.8,12.7,43.24,10.88,7.69,14.32,14.85,72.85,96.5
RED OAK ISD,ELLIS,RED OAK EL,1,432,29.4,4.15,28.7,3478,29035,15.1,15.7,51.16,13.89,2.31,19.21,23.15,79.33,95.8
RED OAK ISD,ELLIS,WOODEN EL,1,362,13.26,2.3,20.7,3147,31906,17.5,15.7,25.69,0,4.7,19.34,14.92,71.31,96.3
RED OAK ISD,ELLIS,EASTRIDGE EL,1,585,12.82,2.24,34.8,2755,27607,16.8,16,10.77,0,4.62,15.21,9.74,65.48,96.9
RED OAK ISD,ELLIS,SHIELDS EL,1,378,8.73,1.59,23,3222,30602,16.5,15,4.5,0,4.76,12.17,11.9,74.82,97.3
WAXAHACHIE ISD,ELLIS,NORTHSIDE EL,1,558,44.62,4.94,36.8,3332,32890,15.2,33.8,47.67,3.05,1.25,11.65,20.43,61.36,95.8
WAXAHACHIE ISD,ELLIS,T C WILEMON EL,1,493,50.3,5,34,3692,30812,14.5,27,52.94,16.63,1.01,17.44,21.5,58.79,96.3
WAXAHACHIE ISD,ELLIS,DUNAWAY EL,1,452,30.31,4.22,28.1,3640,31681,16.1,22.1,42.92,3.32,14.6,12.17,29.42,75.71,96.8
WAXAHACHIE ISD,ELLIS,SHACKELFORD EL,1,417,29.5,4.16,26,3404,31454,16,19.1,24.46,3.36,7.91,10.55,18.47,75.29,96.7
MAYPEARL ISD,ELLIS,MAYPEARL EL,1,299,22.74,3.51,22.8,2993,28824,13.1,15.8,43.81,8.7,3.34,19.73,11.71,83.75,97.6
BONHAM ISD,FANNIN,EVANS EL,1,453,12.36,2.17,32.7,2309,27878,13.8,19.8,48.57,0,9.93,21.19,25.39,67.5,97.2
DODD CITY ISD,FANNIN,DODD CITY SCHOOL,3,239,1.67,0.33,21.6,4880,24704,11.1,9.6,47.28,0,5.02,18.83,17.15,73.77,96
ECTOR ISD,FANNIN,ECTOR SCHOOL,3,187,6.42,1.2,17.6,4092,26172,10.6,7.5,34.76,0,10.16,21.39,19.79,60.54,96.6
HONEY GROVE ISD,FANNIN,HONEY GROVE MIDDLE,2,232,19.83,3.18,18,3258,27903,12.9,10.9,40.95,0.43,21.55,22.41,16.38,91.7,96.9
HONEY GROVE ISD,FANNIN,HONEY GROVE EL,1,272,26.84,3.93,20.5,3588,28185,13.3,14.1,54.78,4.41,18.75,20.96,11.03,62.39,97.1
LEONARD ISD,FANNIN,LEONARD EL,1,362,9.12,1.66,22.5,2977,26889,16.1,12,42.27,0.83,4.97,20.72,14.09,62.24,96.2
SAVOY ISD,FANNIN,SAVOY EL,1,162,4.32,0.83,12.1,3178,28773,13.3,8.9,33.33,1.23,2.47,14.81,16.67,52.49,97.3
TRENTON ISD,FANNIN,TRENTON EL,1,186,9.14,1.66,13.4,3130,29839,13.8,11.2,44.62,0,3.76,17.2,15.59,76.15,97.2
SAM RAYBURN ISD,FANNIN,SAM RAYBURN EL,1,175,8,1.47,18,3819,28892,9.7,14,52,2.29,10.29,17.71,11.43,69.87,95.7
BELLS ISD,GRAYSON,BELLS EL,1,422,1.66,0.33,29,3182,25281,14.6,17,31.75,0,4.03,17.06,15.4,72.3,97.1
COLLINSVILLE ISD,GRAYSON,COLLINSVILLE EL,1,254,9.45,1.71,17,2841,29434,14.9,15,31.89,3.54,2.36,10.63,12.2,71.34,97.1
DENISON ISD,GRAYSON,GOLDEN RULE EL,1,291,13.75,2.37,20.7,3828,30009,14.1,15.3,77.66,0,5.15,18.21,22.34,81.68,96.1
DENISON ISD,GRAYSON,HOUSTON EL,1,312,22.44,3.48,21.4,4026,31898,14.6,17,65.06,1.6,5.45,23.4,25.64,80.17,96
DENISON ISD,GRAYSON,HYDE PARK EL,1,246,7.32,1.36,14.5,3403,31575,17,11.5,34.15,0.41,11.79,17.48,16.67,83.61,96.8
DENISON ISD,GRAYSON,LAYNE EL,1,301,5.98,1.12,21.8,3540,30891,13.8,19,53.16,0.66,6.64,8.31,18.27,79.8,96.6
DENISON ISD,GRAYSON,MAYES EL,1,280,13.57,2.35,16.6,3027,30295,16.9,12.6,38.57,1.79,10.36,15,9.64,81.82,97.2
DENISON ISD,GRAYSON,LAMAR EL,1,363,8.54,1.56,21.1,2961,28564,17.2,13.9,55.65,0.83,4.68,15.15,21.76,84.35,96.7
DENISON ISD,GRAYSON,TERRELL EL,1,509,34.77,4.54,27.2,2878,29837,18.7,19.1,81.53,5.11,1.96,14.34,22.4,62.18,95.6
HOWE ISD,GRAYSON,HOWE MIDDLE,2,319,5.02,0.95,18.1,3074,29450,17.6,13.1,16.61,0,5.96,9.4,13.79,68.4,96.8
HOWE ISD,GRAYSON,HOWE EL,1,340,5.59,1.06,21.9,3255,26930,15.6,13.7,23.82,0,4.71,13.82,9.41,75.89,97.4
SHERMAN ISD,GRAYSON,DILLINGHAM INT,2,895,27.26,3.97,48.9,3034,31682,18.3,35.1,39.44,1.9,14.86,13.97,18.32,65.9,95.7
SHERMAN ISD,GRAYSON,CRUTCHFIELD EL,1,550,28.73,4.1,34,3291,31449,16.2,25,53.45,2.18,6.36,19.82,19.09,59.76,95.9
SHERMAN ISD,GRAYSON,FAIRVIEW EL,1,474,26.37,3.88,32.8,3718,33672,14.5,29.8,31.22,0,9.07,13.5,20.89,72.82,96.2
SHERMAN ISD,GRAYSON,JEFFERSON EL,1,271,59.78,4.81,18.7,4039,29959,14.5,13.7,69.74,8.49,7.01,12.92,19.19,32.99,96.1
SHERMAN ISD,GRAYSON,PERRIN EL,1,213,6.57,1.23,17.1,4206,28260,12.5,9.8,38.97,0.47,15.96,20.66,32.39,88.5,96.4
SHERMAN ISD,GRAYSON,WAKEFIELD EL,1,455,14.73,2.51,28.9,3206,30373,15.7,18.4,34.07,0.44,17.36,16.48,21.32,65.3,96.6
SHERMAN ISD,GRAYSON,WASHINGTON EL,1,492,43.5,4.92,33,3071,31407,14.9,12,68.7,16.26,0,9.35,25.61,43.14,95.6
TIOGA ISD,GRAYSON,TIOGA EL,1,137,13.87,2.39,13.4,5360,25022,10.2,4.4,45.99,0,7.3,25.55,15.33,59.69,96.3
VAN ALSTYNE ISD,GRAYSON,VAN ALSTYNE EL,1,404,11.88,2.09,28.3,2718,28372,14.3,18.6,37.38,4.21,6.44,16.34,11.39,72.34,96.9
WHITESBORO ISD,GRAYSON,WHITESBORO MIDDLE,2,458,3.28,0.63,27.6,2786,28567,16.6,17.6,29.26,0,8.95,13.1,15.72,83.5,96.5
WHITESBORO ISD,GRAYSON,WHITESBORO EL,1,535,4.67,0.89,33.3,3145,28402,16.1,20,44.49,1.68,1.87,12.15,20,72.08,96.7
WHITEWRIGHT ISD,GRAYSON,WHITEWRIGHT EL,1,311,17.68,2.91,22.3,3190,27649,13.9,16.3,49.84,0.96,4.5,13.5,13.83,87.95,97.5
POTTSBORO ISD,GRAYSON,POTTSBORO MIDDLE,2,407,2.21,0.43,30.7,3002,28733,13.3,16,29.24,0.49,6.63,13.76,23.34,82.8,96.2
POTTSBORO ISD,GRAYSON,POTTSBORO EL,1,442,2.04,0.4,27.4,3040,27750,16.2,16.3,39.14,0.45,3.39,11.99,14.48,74.44,97.2
S AND S CONS ISD,GRAYSON,S AND S CONS MIDDLE,2,265,4.53,0.86,17.4,3448,31362,15.2,15.3,21.89,0,5.66,11.7,15.47,80.9,96.9
S AND S CONS ISD,GRAYSON,S AND S CONS EL,1,289,1.73,0.34,20.1,3891,29779,14.4,16.6,26.64,0.35,1.73,19.03,13.84,78.44,96.7
GUNTER ISD,GRAYSON,GUNTER EL,1,246,28.46,4.07,20.2,3491,26975,12.2,12.2,41.87,11.38,5.69,21.14,4.88,90.97,97.5
TOM BEAN ISD,GRAYSON,TOM BEAN EL,1,340,3.53,0.68,22.1,2742,28801,15.4,17.1,30,0,2.65,19.71,12.65,84.75,96.7
CADDO MILLS ISD,HUNT,CADDO MILLS EL,1,388,7.73,1.43,26.9,3107,27846,14.4,19,38.4,0.77,4.64,14.69,13.92,80.86,96.4
CELESTE ISD,HUNT,CELESTE EL,1,194,4.12,0.79,15.9,3747,27329,12.2,8.8,37.11,1.03,10.82,15.46,10.31,84.16,97.7
COMMERCE ISD,HUNT,COMMERCE EL,1,600,36.33,4.63,36.7,2633,28052,16.3,25,60.5,4,6,11.83,13.5,66.3,96.2
COMMERCE ISD,HUNT,ALBERT C WILLIAMS EL,1,397,24.94,3.74,24.6,2755,29288,16.1,18,50.63,1.51,15.11,22.17,14.11,71.78,95.7
GREENVILLE ISD,HUNT,BOWIE EL,1,505,15.25,2.58,28.1,2682,30656,18,22,32.48,2.18,9.7,10.1,12.67,87.21,96.9
GREENVILLE ISD,HUNT,CROCKETT EL,1,350,45.71,4.96,24,2603,26904,14.6,12,68.29,14,4.57,9.71,19.71,72.89,96.6
GREENVILLE ISD,HUNT,CARVER EL,1,347,55.33,4.94,26,2436,24576,13.3,11,78.39,14.41,2.02,19.02,26.51,71.69,96.5
GREENVILLE ISD,HUNT,HOUSTON EL,1,313,85.3,2.51,24,5016,29786,13,17,90.42,19.49,1.28,13.1,28.43,46.49,95.9
GREENVILLE ISD,HUNT,LAMAR EL,1,301,30.56,4.24,19.9,3126,32782,15.2,17,43.52,5.32,7.64,13.62,22.26,74.81,96.6
GREENVILLE ISD,HUNT,TRAVIS EL,1,509,37.13,4.67,32,2898,31103,15.9,27,54.62,5.11,5.89,10.02,27.5,63.15,95.4
GREENVILLE ISD,HUNT,INTERMEDIATE,2,811,36.99,4.66,47.6,2640,29868,17.1,34,49.45,3.95,10.6,14.43,18.62,62.7,95.1
LONE OAK ISD,HUNT,LONE OAK EL,1,295,4.75,0.9,21.9,2723,26520,13.5,14.2,30.51,0.68,11.19,19.66,13.56,89.53,96.7
QUINLAN ISD,HUNT,A E BUTLER INT,2,427,7.03,1.31,29.5,3284,26729,14.5,17.6,53.16,0.7,7.73,23.19,28.57,58.08,95.5
QUINLAN ISD,HUNT,D C CANNON EL,1,629,7.15,1.33,40.4,2985,24647,15.6,14.2,56.76,1.27,5.88,18.92,27.82,80,95.4
WOLFE CITY ISD,HUNT,WOLFE CITY EL,1,299,11.37,2.02,19.9,2726,26907,15.1,11.9,45.15,0,11.37,12.04,15.05,78,97.7
CAMPBELL ISD,HUNT,CAMPBELL EL,1,164,3.05,0.59,14.7,3960,26865,11.1,9.9,22.56,0,7.32,15.24,25,76.73,96.8
BLAND ISD,HUNT,BLAND EL,1,233,6.44,1.21,17.3,3084,26724,13.5,8.7,29.61,3,17.6,20.17,21.89,79.12,97
BOLES ISD,HUNT,BOLES EL,1,204,11.27,2,18.4,3116,21009,11.1,3.5,65.69,1.96,7.35,19.12,28.43,49.01,95
CRANDALL ISD,KAUFMAN,CRANDALL EL,1,448,10.94,1.95,27.2,3108,29284,16.5,17.3,25,4.02,1.56,14.51,11.16,84.6,96.8
CRANDALL ISD,KAUFMAN,CRANDALL INT,2,383,12.53,2.19,19,2430,25757,20.1,6.7,18.8,1.83,12.27,14.88,0,68.87,0
FORNEY ISD,KAUFMAN,FORNEY INT,2,483,11.18,1.99,28.3,2809,25681,17.1,13,13.66,2.28,5.59,12.84,11.39,72.03,97.1
KAUFMAN ISD,KAUFMAN,PHILLIPS EL,1,639,29.73,4.18,38.2,2861,27734,16.7,24.3,42.88,5.01,5.32,14.4,14.4,73.16,96.1
KAUFMAN ISD,KAUFMAN,LUCILLE NASH EL,1,451,31.26,4.3,25.3,2605,26692,17.8,16.2,40.58,3.1,4.66,18.4,14.86,75.35,96.3
KEMP ISD,KAUFMAN,KEMP PRI,3,510,9.02,1.64,35.8,3698,28313,14.3,24.8,48.82,1.18,14.71,13.33,17.45,54.5,94.9
KEMP ISD,KAUFMAN,KEMP INT,2,362,10.77,1.92,25,3250,25124,14.5,10.3,43.09,1.66,6.35,14.92,21.82,35.7,94.1
MABANK ISD,KAUFMAN,MABANK INT,2,892,8.18,1.5,49.8,2733,27240,17.9,26.6,44.62,1.46,4.6,25.11,27.13,57.83,95.4
TERRELL ISD,KAUFMAN,KENNEDY EL,1,567,51.85,4.99,37.9,3759,28752,15,25,59.96,6.53,7.76,16.05,18.87,83.6,97
TERRELL ISD,KAUFMAN,JOHN E LANGWITH EL,1,319,47.02,4.98,21.2,4087,28557,15.1,10,58.31,1.88,10.03,19.75,14.42,70.8,97.1
TERRELL ISD,KAUFMAN,TERRELL INT,2,594,49.16,5,38,3042,28609,15.6,22.7,55.89,3.2,10.44,15.15,14.81,74.9,96.4
SCURRY-ROSSER ISD,KAUFMAN,SCURRY-ROSSER EL,1,292,10.27,1.84,22,4023,28611,13.3,15,25.34,0,14.04,6.51,16.1,73.01,96.6
ROCKWALL ISD,ROCKWALL,VIRGINIA REINHARDT EL,1,584,4.11,0.79,29.9,2698,31075,19.5,22.9,4.28,0,9.42,10.96,6.85,94.01,97.2
ROCKWALL ISD,ROCKWALL,HOWARD DOBBS EL,1,728,27.2,3.96,47.9,3493,29491,15.2,30.2,28.98,9.75,5.49,11.95,26.92,81.31,96.5
ROCKWALL ISD,ROCKWALL,AMANDA ROCHELL EL,1,467,15.85,2.67,29.8,3301,31518,15.7,21.8,34.05,1.71,2.36,12.21,25.05,76.51,96.2
ROCKWALL ISD,ROCKWALL,CULLINS-LAKE POINTE EL,1,651,9.83,1.77,35.5,2439,28129,18.3,20,5.84,0,5.84,10.14,9.37,82.87,96.7
ROCKWALL ISD,ROCKWALL,AMY PARKS-HEATH EL,1,463,2.81,0.55,27.6,2956,28869,16.8,16.1,2.59,0,7.56,6.7,0,93.25,0
ROYSE CITY ISD,ROCKWALL,ROYSE CITY EL,1,481,26.4,3.89,29.7,2777,27464,16.2,18.8,45.32,6.03,5.2,18.5,17.46,81.58,95.8
CANTON ISD,VAN ZANDT,CANTON INT,2,372,8.06,1.48,19.1,2351,29905,19.4,16,38.17,0.54,11.83,9.41,19.09,85.82,96.9
WILLS POINT ISD,VAN ZANDT,WILLS POINT INT,2,574,17.6,2.9,33.4,2973,29498,17.2,24.4,52.79,2.61,8.19,19.69,15.68,62.48,96.8
